Original RegulatedEntityId,RegulatedEntityId,OriginalRegulatedEntityName,RegulatedEntityName,RegisterName,RegulatedDoneeType,RegulatedEntityType,CleanedName,Status,PoliticalParty_pdpy
6537,6537,Abisola Ifasawo,Abisola Ifasawo,Great Britain,Members Association,Regulated Donee,Abisola Ifasawo,,Unknown
6397,6397,Alan Brown,Alan Brown,Great Britain,Members Association,Regulated Donee,Alan Brown,,Scottish National Party
2859,2859,Alan Mak Mp,Alan Mak Mp,Great Britain,Members Association,Regulated Donee,Alan Mak,Mp,Conservative
9112,9112,Alun Davies,Alun Davies,Great Britain,Members Association,Regulated Donee,Alun Davies,,Unknown
6695,6695,Anna Mcmorrin,Anna Mcmorrin,Great Britain,Members Association,Regulated Donee,Anna Mcmorrin,,Unknown
5271,5271,Annie Wells Msp,Annie Wells Msp,Great Britain,Members Association,Regulated Donee,Annie Wells,Msp,Unknown
1864,1864,Dr Caroline Lucas Mp,Dr Caroline Lucas Mp,Great Britain,Members Association,Regulated Donee,Caroline Lucas,Dr & Mp,Green Party
3964,3964,Jess Phillips Mp,Jess Phillips Mp,Great Britain,Members Association,Regulated Donee,Jess Phillips,Mp,Labour
1651,1651,Mr Adam Holloway Mp,Mr Adam Holloway Mp,Great Britain,Members Association,Regulated Donee,Adam Holloway,Mr & Mp,Conservative
1334,1334,Mr Andrew Mitchell Mp,Mr Andrew Mitchell Mp,Great Britain,Members Association,Regulated Donee,Andrew Mitchell,Mr & Mp,Conservative
1283,1283,Mr Andrew Rosindell Mp,Mr Andrew Rosindell Mp,Great Britain,Members Association,Regulated Donee,Andrew Rosindell,Mr & Mp,Conservative
1065,1065,Mr Bill Newton Dunn Mep,Mr Bill Newton Dunn Mep,Great Britain,Members Association,Regulated Donee,Bill Newton Dunn,Mr & Mep,Unknown
1402,1402,Mr Boris Johnson Mp,Mr Boris Johnson Mp,Great Britain,Members Association,Regulated Donee,Boris Johnson,Mr & Mp,Conservative
2094,2094,Mr Brandon Lewis Mp,Mr Brandon Lewis Mp,Great Britain,Members Association,Regulated Donee,Brandon Lewis,Mr & Mp,Conservative
1376,1376,Mr Brian Donohoe Mp,Mr Brian Donohoe Mp,Great Britain,Members Association,Regulated Donee,Brian Donohoe,Mr & Mp,Labour
1061,1061,Mr Crispin Jeremy Rupert Blunt Mp,Mr Crispin Jeremy Rupert Blunt Mp,Great Britain,Members Association,Regulated Donee,Crispin Jeremy Rupert Blunt,Mr & Mp,Unknown
1426,1426,Mr Daniel Kawczynski Mp,Mr Daniel Kawczynski Mp,Great Britain,Members Association,Regulated Donee,Daniel Kawczynski,Mr & Mp,Conservative
2225,2225,Mr David Warburton,Mr David Warburton,Great Britain,Members Association,Regulated Donee,David Warburton,Mr,Conservative
1644,1644,Mr Dominic Raab Mp,Mr Dominic Raab Mp,Great Britain,Members Association,Regulated Donee,Dominic Raab,Mr & Mp,Conservative
1552,1552,Mr Edward Timpson Mp,Mr Edward Timpson Mp,Great Britain,Members Association,Regulated Donee,Edward Timpson,Mr & Mp,Conservative
1069,1069,Mr Fraser Kemp Mp,Mr Fraser Kemp Mp,Great Britain,Members Association,Regulated Donee,Fraser Kemp,Mr & Mp,Labour
1088,1088,Mr George Iain Duncan-Smith,Mr George Iain Duncan-Smith,Great Britain,Members Association,Regulated Donee,George Iain Duncan-Smith,Mr,Unknown
1936,1936,Mr George Mudie Mp,Mr George Mudie Mp,Great Britain,Members Association,Regulated Donee,George Mudie,Mr & Mp,Labour
1223,1223,Mr Mark Fisher Mp,Mr Mark Fisher Mp,Great Britain,Members Association,Regulated Donee,Mark Fisher,Mr & Mp,Labour
1114,1114,Mr Michael Clapham Mp,Mr Michael Clapham Mp,Great Britain,Members Association,Regulated Donee,Michael Clapham,Mr & Mp,Labour
1176,1176,Mr Michael Weir Mp,Mr Michael Weir Mp,Great Britain,Members Association,Regulated Donee,Michael Weir,Mr & Mp,Scottish National Party
7941,7941,Mr Neil Coyle,Mr Neil Coyle,Great Britain,Members Association,Regulated Donee,Neil Coyle,Mr,Labour
1901,1901,Mr Philip Hollobone Mp,Mr Philip Hollobone Mp,Great Britain,Members Association,Regulated Donee,Philip Hollobone,Mr & Mp,Conservative
1083,1083,Mr Roger Godsiff Mp,Mr Roger Godsiff Mp,Great Britain,Members Association,Regulated Donee,Roger Godsiff,Mr & Mp,Labour
2174,2174,Mr Ronnie Campbell Mp,Mr Ronnie Campbell Mp,Great Britain,Members Association,Regulated Donee,Ronnie Campbell,Mr & Mp,Labour
1639,1639,Mr Rory Stewart Mp,Mr Rory Stewart Mp,Great Britain,Members Association,Regulated Donee,Rory Stewart,Mr & Mp,Conservative
1534,1534,Mr Stephen Barclay Mp,Mr Stephen Barclay Mp,Great Britain,Members Association,Regulated Donee,Stephen Barclay,Mr & Mp,Conservative
1227,1227,Mr Tim Yeo Mp,Mr Tim Yeo Mp,Great Britain,Members Association,Regulated Donee,Tim Yeo,Mr & Mp,Unknown
1314,1314,Ms Karen Buck Mp,Ms Karen Buck Mp,Great Britain,Members Association,Regulated Donee,Karen Buck,Ms & Mp,Labour
1513,1513,Ms Mary Macleod Mp,Ms Mary Macleod Mp,Great Britain,Members Association,Regulated Donee,Mary Macleod,Ms & Mp,Conservative
1625,1625,Nigel Adams Mp,Nigel Adams Mp,Great Britain,Members Association,Regulated Donee,Nigel Adams,Mp,Conservative
5283,5283,Owen Smith Mp,Owen Smith Mp,Great Britain,Members Association,Regulated Donee,Owen Smith,Mp,Labour
1469,1469,The Rt Hon Andy Burnham Mp,The Rt Hon Andy Burnham Mp,Great Britain,Members Association,Regulated Donee,Andy Burnham,The Rt Hon & Mp,Labour
1635,1635,The Rt Hon Andy Burnham Mp,The Rt Hon Andy Burnham Mp,Great Britain,Members Association,Regulated Donee,Andy Burnham,The Rt Hon & Mp,Labour
1898,1898,The Rt Hon Ben Bradshaw Mp,The Rt Hon Ben Bradshaw Mp,Great Britain,Members Association,Regulated Donee,Ben Bradshaw,The Rt Hon & Mp,Unknown
